Feature,Coefficient,Title
KORCPICORMINMEI,6.607918116729677,"All Items Non-Food Non-Energy for Korea"
KORCP010000IXOBM,4.793575855857532,"Food and Non-Alcoholic Beverages for Korea"
KORCP040000IXOBM,3.2884598749412386,"Housing, Water, Electricity, Gas and Other Fuels for Korea"
KORCPGRLH02IXOBM,2.4667033327705843,"Services Less Housing (Housing Excluding Imputed Rentals for Housing) for Korea"
KORCP070000IXOBM,1.5072771413439696,"Transport for Korea"
KORCPGRSE01IXOBM,0.3600756951126734,"Services for Korea"
KORCP030000IXOBM,0.3223678150691238,"Clothing and Footwear for Korea"
KORCP020000IXOBM,0.2769077685295667,"Alcoholic Beverages, Tobacco and Narcotics for Korea"
KORCP040100IXOBM,0.1368468389004322,"Actual Rentals for Housing for Korea"
KORCP100000IXOBM,0.0317373770670464,"Education for Korea"
